segment,loan_id,borrower,exposure_inr_lakh,bureau_score,score_migration_3m,dpd_current,dpd_trend_6m,emi_bounce_6m,util_ratio,util_spike_3m,cashflow_coverage,salary_regularity,balance_volatility,new_enquiries_3m,leverage_buildup,ltv_drift,gst_filing_gap_m,interest_coverage,news_adverse_severity,legal_event_flag,call_sentiment_drift,hardship_mentions_6m,audit_qualified_flag,web_footprint_decline,default_12m,true_pd,vintage
SME,LN104600,Borrower-04600,228.0,825.0,-13.0,0,1.77,0,0.452,-0.094,1.01,0.602,0.265,1,0.088,0.0,1,5.17,0.0,0,0.453,0,0,0.112,0,0.0142,train
Mid Corporate,LN104601,Borrower-04601,95.3,719.0,-1.0,5,0.86,0,0.303,0.176,1.33,0.885,0.303,0,-0.076,0.0,0,4.05,0.0,0,-0.314,1,0,0.0,0,0.0027,train
Microfinance,LN104602,Borrower-04602,32.7,726.0,-2.0,35,0.55,1,0.497,-0.076,1.64,0.763,0.152,0,-0.233,0.0,0,,0.0,0,0.267,2,0,0.251,1,0.3611,train
SME,LN104603,Borrower-04603,27.7,599.0,10.0,0,1.06,0,0.516,-0.064,1.13,0.834,0.14,1,0.103,0.0,0,3.43,0.0,0,-0.095,0,0,0.0,0,0.0013,train
SME,LN104604,Borrower-04604,34.1,650.0,-42.0,5,0.55,0,0.413,-0.013,1.64,0.86,0.294,2,0.249,0.0,0,0.73,0.0,1,0.158,0,0,0.0,1,0.84,train
Retail Unsecured,LN104605,Borrower-04605,42.3,713.0,3.0,0,0.55,0,0.621,-0.012,3.2,0.587,0.838,1,-0.015,0.0,0,,0.0,0,-0.428,0,0,0.0,0,0.0001,train
Mid Corporate,LN104606,Borrower-04606,15.6,688.0,-11.0,15,0.57,0,0.443,0.065,1.58,0.589,0.303,1,-0.046,0.0,0,2.82,0.0,0,-0.302,0,0,0.0,0,0.0032,train
Retail Unsecured,LN104607,Borrower-04607,9.7,722.0,-13.0,0,-0.17,1,0.244,0.037,2.19,0.779,0.318,0,0.052,0.0,0,,0.0,0,-0.248,0,0,0.0,0,0.0001,train
Retail Unsecured,LN104608,Borrower-04608,76.4,722.0,-23.0,5,1.07,0,0.555,0.123,2.88,0.933,0.1,0,0.05,0.0,0,,0.0,0,0.567,0,0,0.0,0,0.0,train
Microfinance,LN104609,Borrower-04609,25.1,748.0,-7.0,15,0.67,0,0.034,-0.154,2.42,0.959,0.455,0,0.15,0.0,0,,0.0,0,0.703,0,0,0.059,0,0.0,train
Mid Corporate,LN104610,Borrower-04610,69.7,612.0,-9.0,15,-2.3,0,0.42,-0.117,2.37,0.66,0.448,0,-0.391,0.0,0,5.48,0.0,0,-0.224,0,0,0.0,0,0.0,train
Retail Unsecured,LN104611,Borrower-04611,150.0,654.0,-8.0,0,0.85,0,0.673,0.108,1.89,0.814,0.868,0,-0.028,0.0,0,,0.0,0,0.168,0,0,0.0,0,0.0007,train
SME,LN104612,Borrower-04612,43.5,710.0,-29.0,15,-0.79,0,0.096,-0.121,1.24,0.78,0.536,1,0.035,0.0,0,2.49,0.0,0,-0.1,0,0,0.0,0,0.0003,train
Retail Secured,LN104613,Borrower-04613,36.4,679.0,2.0,0,0.24,0,0.442,-0.018,2.18,0.882,0.565,1,-0.392,-0.064,0,,0.0,0,-0.062,0,0,0.0,0,0.0,train
Retail Unsecured,LN104614,Borrower-04614,829.0,698.0,-14.0,0,-1.67,0,0.037,-0.153,1.21,0.79,0.087,0,-0.382,0.0,0,,0.0,0,-0.187,0,0,0.0,0,0.0,train
Retail Unsecured,LN104615,Borrower-04615,30.8,721.0,-29.0,0,-0.58,0,0.456,0.104,2.9,0.747,0.276,1,-0.354,0.0,0,,0.0,0,-0.004,0,0,0.0,0,0.0,train
Retail Unsecured,LN104616,Borrower-04616,7.4,674.0,-10.0,0,-0.36,0,0.369,-0.18,2.02,0.812,0.095,1,0.594,0.0,0,,0.0,0,-0.674,0,0,0.0,0,0.0002,train
Retail Secured,LN104617,Borrower-04617,18.0,726.0,-14.0,0,0.54,1,0.133,-0.05,0.62,0.587,0.279,1,-0.034,0.006,0,,0.0,0,0.614,0,0,0.0,0,0.0007,train
Retail Secured,LN104618,Borrower-04618,135.2,745.0,1.0,35,-0.59,0,0.389,-0.125,1.65,0.633,0.113,0,-0.183,-0.153,0,,0.0,0,0.475,0,0,0.0,0,0.0,train
Retail Secured,LN104619,Borrower-04619,5.9,719.0,-10.0,5,-2.17,1,0.59,0.039,1.93,0.936,0.269,1,-0.032,0.133,0,,0.0,0,-0.322,0,0,0.0,0,0.0,train
Retail Unsecured,LN104620,Borrower-04620,10.7,755.0,-26.0,35,-0.49,0,0.505,0.044,1.2,0.941,0.487,0,0.068,0.0,0,,0.0,0,0.227,0,0,0.0,0,0.0005,train
Mid Corporate,LN104621,Borrower-04621,82.9,595.0,-16.0,0,-0.38,0,0.847,0.16,1.86,0.501,0.487,1,0.258,0.0,1,4.25,0.0,0,0.32,0,0,0.011,0,0.0034,train
SME,LN104622,Borrower-04622,18.2,683.0,-31.0,0,0.63,0,0.753,0.032,1.2,0.923,0.728,1,0.326,0.0,0,3.64,0.0,0,-0.15,0,0,0.0,0,0.2133,train
Mid Corporate,LN104623,Borrower-04623,21.7,764.0,20.0,0,0.15,0,0.606,-0.092,1.93,0.835,0.518,2,-0.004,0.0,0,1.68,0.0,0,0.094,0,0,0.04,0,0.0,train
Retail Unsecured,LN104624,Borrower-04624,79.9,667.0,23.0,5,-0.77,1,0.458,0.012,1.02,0.769,0.433,2,0.056,0.0,0,,0.0,0,0.516,0,0,0.0,0,0.0,train
SME,LN104625,Borrower-04625,11.2,660.0,26.0,0,0.28,0,0.365,0.065,2.01,0.614,0.352,1,0.078,0.0,0,4.28,0.0,0,0.082,0,0,0.386,0,0.0001,train
Mid Corporate,LN104626,Borrower-04626,4.9,708.0,-11.0,0,1.83,1,0.215,0.101,1.52,0.619,0.157,0,-0.308,0.0,0,1.94,0.0,0,-0.018,0,0,0.118,0,0.0062,train
Retail Unsecured,LN104627,Borrower-04627,5.3,714.0,23.0,0,1.17,0,0.195,-0.002,1.35,0.726,0.108,1,0.149,0.0,0,,0.0,0,-0.011,0,0,0.0,0,0.0,train
Retail Unsecured,LN104628,Borrower-04628,46.5,686.0,7.0,0,-1.91,0,0.275,0.113,0.62,0.858,0.554,1,-0.058,0.0,0,,0.0,0,-0.09,0,0,0.0,0,0.0,train
Retail Unsecured,LN104629,Borrower-04629,32.6,816.0,-15.0,5,2.48,0,0.276,-0.009,1.58,0.86,0.037,0,-0.376,0.0,0,,0.0,0,-0.126,0,0,0.0,0,0.0004,train
Retail Unsecured,LN104630,Borrower-04630,11.5,731.0,-11.0,0,1.18,0,0.601,-0.131,1.13,0.639,0.288,1,0.524,0.0,0,,0.0,0,-0.074,0,0,0.0,0,0.0309,train
Retail Secured,LN104631,Borrower-04631,6.9,665.0,-3.0,35,1.59,0,0.666,-0.116,1.22,0.919,0.088,0,0.152,0.009,0,,0.0,0,0.285,0,0,0.0,0,0.003,train
Retail Unsecured,LN104632,Borrower-04632,18.2,636.0,2.0,0,-1.52,0,0.265,-0.023,0.85,0.844,0.446,0,0.232,0.0,0,,0.0,0,-0.122,0,0,0.0,0,0.0,train
Retail Unsecured,LN104633,Borrower-04633,83.8,737.0,7.0,0,-0.41,1,0.293,-0.027,1.71,0.796,0.41,1,-0.129,0.0,0,,0.0,0,0.086,0,0,0.0,0,0.0,train
SME,LN104634,Borrower-04634,9.8,664.0,-0.0,0,0.59,1,0.155,-0.005,1.78,0.585,0.021,0,-0.373,0.0,1,2.16,0.0,0,-0.333,0,0,0.0,0,0.0007,train
Retail Unsecured,LN104635,Borrower-04635,11.8,833.0,-6.0,0,-1.12,1,0.661,0.19,1.87,0.967,0.996,2,-0.044,0.0,0,,0.0,0,0.244,0,0,0.0,0,0.0002,train
Retail Secured,LN104636,Borrower-04636,6.6,739.0,24.0,0,0.53,1,0.583,0.013,1.16,0.877,0.213,0,-0.269,-0.102,0,,0.0,0,0.014,0,0,0.0,0,0.0,train
SME,LN104637,Borrower-04637,16.4,746.0,-2.0,0,1.63,0,0.53,0.101,1.46,0.739,0.194,0,-0.331,0.0,1,3.13,0.0,0,0.636,0,0,0.7,0,0.0015,train
Retail Unsecured,LN104638,Borrower-04638,35.6,729.0,-3.0,0,-0.33,0,0.554,0.054,1.45,0.653,0.193,1,-0.338,0.0,0,,0.0,0,0.035,1,0,0.0,0,0.0,train
Retail Unsecured,LN104639,Borrower-04639,251.3,777.0,-4.0,0,1.7,1,0.555,0.082,1.91,0.784,0.253,0,0.017,0.0,0,,0.0,0,0.13,0,0,0.0,0,0.0018,train
Retail Unsecured,LN104640,Borrower-04640,31.2,583.0,-2.0,0,0.7,0,0.647,-0.117,1.25,0.919,0.248,0,0.231,0.0,0,,0.0,0,0.149,0,0,0.0,0,0.0002,train
Retail Unsecured,LN104641,Borrower-04641,23.1,649.0,-25.0,0,-1.86,0,0.113,0.044,0.97,0.693,0.358,0,0.104,0.0,0,,0.0,0,-0.494,0,0,0.0,0,0.0,train
Retail Secured,LN104642,Borrower-04642,63.4,772.0,-18.0,15,-0.87,0,0.292,0.175,1.6,0.567,0.029,1,-0.069,0.048,0,,0.735,0,0.734,0,0,0.0,0,0.0015,train
Retail Unsecured,LN104643,Borrower-04643,52.8,798.0,44.0,35,1.11,0,0.258,-0.075,1.0,0.956,0.696,0,0.208,0.0,0,,0.0,0,-0.243,0,0,0.0,0,0.0008,train
Retail Unsecured,LN104644,Borrower-04644,13.0,647.0,-30.0,35,-1.03,0,0.133,-0.069,1.12,0.833,0.11,2,-0.265,0.0,0,,0.0,0,-0.304,0,0,0.0,0,0.0014,train
Microfinance,LN104645,Borrower-04645,308.7,615.0,5.0,0,1.08,0,0.122,-0.056,2.39,0.684,0.295,0,0.148,0.0,0,,0.0,0,0.045,1,0,0.202,0,0.0002,train
Mid Corporate,LN104646,Borrower-04646,23.9,724.0,6.0,0,0.61,1,0.545,0.099,0.99,0.956,0.249,1,0.07,0.0,0,1.3,0.0,0,-0.059,0,0,0.0,0,0.0031,train
Retail Unsecured,LN104647,Borrower-04647,31.8,742.0,18.0,0,0.31,0,0.355,-0.095,1.52,0.806,0.351,1,0.19,0.0,0,,0.0,0,-0.059,0,0,0.0,0,0.0,train
Retail Unsecured,LN104648,Borrower-04648,45.0,723.0,7.0,0,-0.58,0,0.275,-0.056,1.63,0.985,0.306,1,-0.061,0.0,0,,0.0,0,-0.295,0,0,0.0,0,0.0,train
Retail Secured,LN104649,Borrower-04649,35.9,712.0,34.0,35,0.3,0,0.152,-0.069,1.26,0.946,0.155,1,0.007,0.061,0,,0.0,0,0.027,0,0,0.0,0,0.0,train
Mid Corporate,LN104650,Borrower-04650,131.4,613.0,4.0,0,1.68,0,0.554,-0.112,1.82,0.792,1.099,0,-0.425,0.0,2,3.21,0.0,0,-0.699,0,0,0.0,0,0.0314,train
SME,LN104651,Borrower-04651,12.8,694.0,24.0,15,-0.39,0,0.553,-0.165,1.16,0.913,0.145,1,0.124,0.0,0,3.66,0.0,0,0.251,0,0,0.0,0,0.0,train
Retail Unsecured,LN104652,Borrower-04652,58.1,703.0,19.0,0,0.61,1,0.471,-0.01,1.57,0.828,0.158,1,0.308,0.0,0,,0.0,0,-0.507,0,0,0.0,0,0.0028,train
Retail Unsecured,LN104653,Borrower-04653,29.4,685.0,28.0,0,2.01,1,0.128,0.108,1.34,0.793,0.351,1,-0.184,0.0,0,,0.0,0,-0.388,1,0,0.0,0,0.0839,train
Retail Secured,LN104654,Borrower-04654,72.3,609.0,0.0,0,0.26,0,0.281,-0.18,2.28,0.906,1.187,3,-0.081,0.047,0,,0.0,0,0.175,1,0,0.0,0,0.0003,train
Mid Corporate,LN104655,Borrower-04655,19.4,747.0,7.0,15,-0.49,0,0.306,0.02,2.11,0.996,0.53,0,-0.062,0.0,2,4.34,0.0,0,0.621,0,0,0.0,0,0.0,train
Mid Corporate,LN104656,Borrower-04656,16.7,763.0,-7.0,15,-0.5,0,0.553,0.248,1.24,0.982,0.361,0,-0.517,0.0,0,2.43,0.0,0,0.562,0,0,0.105,0,0.0,train
Retail Unsecured,LN104657,Borrower-04657,54.9,671.0,3.0,5,-2.08,0,0.431,-0.066,1.72,0.5,0.171,0,-0.223,0.0,0,,0.0,0,-0.136,1,0,0.0,0,0.0,train
Retail Secured,LN104658,Borrower-04658,36.4,705.0,4.0,5,-1.21,0,0.275,0.045,1.21,0.839,0.883,0,-0.356,-0.052,0,,0.0,0,0.148,0,0,0.0,0,0.0,train
Retail Unsecured,LN104659,Borrower-04659,10.0,688.0,-37.0,15,0.34,0,0.436,0.044,1.15,0.983,0.128,1,0.351,0.0,0,,0.0,0,-0.217,0,0,0.0,0,0.0437,train
SME,LN104660,Borrower-04660,107.8,688.0,-3.0,5,0.97,0,0.215,-0.111,1.97,0.725,1.095,0,-0.458,0.0,0,2.32,0.0,0,0.094,0,0,0.104,0,0.0,train
Mid Corporate,LN104661,Borrower-04661,54.9,742.0,16.0,0,-0.43,0,0.869,0.009,2.0,0.864,0.118,0,-0.526,0.0,0,3.99,0.0,0,-0.322,0,0,0.125,0,0.0,train
Retail Secured,LN104662,Borrower-04662,22.6,743.0,-24.0,0,0.96,0,0.738,-0.17,1.13,0.871,0.723,0,0.321,0.136,0,,0.0,1,0.033,0,0,0.0,1,0.9815,train
Retail Unsecured,LN104663,Borrower-04663,14.7,774.0,-18.0,0,0.89,0,0.444,-0.007,1.93,0.947,0.199,0,-0.312,0.0,0,,0.0,0,0.259,0,0,0.0,0,0.0,train
Retail Secured,LN104664,Borrower-04664,36.6,773.0,21.0,0,-0.77,0,0.429,0.234,0.82,0.84,0.724,1,0.299,-0.059,0,,0.0,0,0.052,0,0,0.0,0,0.0001,train
Retail Secured,LN104665,Borrower-04665,50.7,706.0,24.0,5,-0.6,1,0.3,0.269,2.08,0.862,0.231,0,0.313,-0.022,0,,0.0,0,0.548,0,0,0.0,0,0.0,train
SME,LN104666,Borrower-04666,4.2,871.0,-11.0,15,-1.35,1,0.162,-0.177,1.99,0.418,0.06,0,-0.003,0.0,0,2.01,0.0,1,-0.456,0,0,0.175,0,0.178,train
Retail Secured,LN104667,Borrower-04667,37.1,800.0,3.0,35,0.74,0,0.669,-0.15,1.39,0.637,0.785,2,0.021,-0.016,0,,0.0,0,0.236,0,0,0.0,0,0.0069,train
Mid Corporate,LN104668,Borrower-04668,50.3,679.0,-1.0,0,0.0,0,0.538,0.113,1.46,0.82,0.385,0,0.088,0.0,1,1.59,0.0,1,0.041,0,0,0.295,0,0.4658,train
Retail Unsecured,LN104669,Borrower-04669,1.8,722.0,21.0,5,0.89,0,0.587,-0.006,1.63,0.961,0.591,1,0.084,0.0,0,,0.0,0,0.52,0,0,0.0,0,0.0,train
Retail Unsecured,LN104670,Borrower-04670,30.4,606.0,-10.0,35,-0.06,0,0.486,0.085,1.32,0.616,1.251,0,-0.094,0.0,0,,0.0,0,0.006,0,0,0.0,1,0.0977,train
Retail Unsecured,LN104671,Borrower-04671,52.7,716.0,-7.0,0,-0.94,0,0.316,0.038,2.28,0.968,0.034,1,-0.142,0.0,0,,0.0,0,-0.191,0,0,0.0,0,0.0,train
Retail Unsecured,LN104672,Borrower-04672,46.5,807.0,24.0,15,0.78,1,0.739,-0.083,2.36,0.868,0.55,0,0.339,0.0,0,,0.0,0,-0.367,0,0,0.0,0,0.0021,train
Retail Unsecured,LN104673,Borrower-04673,59.3,868.0,-18.0,35,-1.98,1,0.643,0.172,1.61,0.539,0.1,1,-0.326,0.0,0,,0.0,0,-0.175,0,0,0.0,0,0.0012,train
SME,LN104674,Borrower-04674,17.1,708.0,-9.0,0,-0.34,0,0.334,-0.19,1.85,0.798,0.167,1,-0.415,0.0,0,1.15,0.0,0,-0.017,0,0,0.106,0,0.0,train
Retail Unsecured,LN104675,Borrower-04675,7.8,733.0,2.0,0,-0.77,0,0.191,-0.036,1.61,0.897,0.596,0,-0.119,0.0,0,,0.0,0,-0.055,0,0,0.0,0,0.0,train
Retail Unsecured,LN104676,Borrower-04676,3.4,748.0,27.0,0,1.53,1,0.382,-0.022,1.76,0.892,0.321,0,0.053,0.0,0,,0.0,0,-0.072,0,0,0.0,0,0.0005,train
Retail Unsecured,LN104677,Borrower-04677,81.6,824.0,-21.0,0,1.75,0,0.432,-0.115,1.45,0.935,0.214,1,0.029,0.0,0,,0.0,0,0.027,0,0,0.0,0,0.001,train
Retail Unsecured,LN104678,Borrower-04678,53.2,661.0,-13.0,15,0.42,0,0.125,-0.05,0.98,0.749,0.187,0,-0.219,0.0,0,,0.0,0,0.236,0,0,0.0,0,0.0001,train
Mid Corporate,LN104679,Borrower-04679,88.7,861.0,11.0,0,-0.58,1,0.445,0.026,2.83,0.904,0.369,2,-0.281,0.0,0,2.56,0.0,0,0.296,0,0,0.0,0,0.0,train
Microfinance,LN104680,Borrower-04680,11.0,698.0,13.0,15,1.72,0,0.654,0.026,2.87,0.429,0.211,0,0.338,0.0,0,,0.0,0,0.156,0,0,0.062,0,0.0004,train
Retail Unsecured,LN104681,Borrower-04681,59.4,651.0,4.0,15,-0.7,0,0.177,0.095,2.43,0.992,0.425,2,-0.024,0.0,0,,0.0,0,0.27,0,0,0.0,0,0.0,train
SME,LN104682,Borrower-04682,4.7,698.0,-2.0,0,-1.38,0,0.449,0.237,2.49,0.825,0.503,0,0.175,0.0,2,3.54,0.0,0,-0.327,0,0,0.239,0,0.0002,train
SME,LN104683,Borrower-04683,9.4,670.0,2.0,0,-1.99,0,0.257,0.018,1.29,0.939,1.157,2,-0.105,0.0,1,2.21,0.0,0,-0.292,0,1,0.0,0,0.0071,train
Microfinance,LN104684,Borrower-04684,28.2,738.0,-27.0,0,0.1,0,0.557,-0.02,0.25,0.932,0.932,1,-0.308,0.0,0,,0.0,0,-0.528,0,0,0.044,0,0.096,train
Retail Secured,LN104685,Borrower-04685,50.9,624.0,2.0,35,-1.71,0,0.507,-0.018,1.34,0.549,0.19,0,-0.03,0.104,0,,0.0,0,-0.379,0,0,0.0,0,0.0001,train
Retail Unsecured,LN104686,Borrower-04686,155.5,723.0,27.0,5,1.42,1,0.36,-0.163,0.99,0.862,0.345,1,0.059,0.0,0,,0.265,0,0.107,0,0,0.0,0,0.0113,train
Retail Secured,LN104687,Borrower-04687,18.8,752.0,-24.0,0,-0.58,0,0.12,0.077,1.77,0.902,0.147,2,0.064,-0.068,0,,0.0,0,0.24,0,0,0.0,0,0.0,train
Mid Corporate,LN104688,Borrower-04688,9.5,797.0,-14.0,5,-1.29,0,0.288,-0.063,1.13,0.586,0.283,1,-0.106,0.0,0,3.94,0.0,0,-0.556,0,0,0.0,0,0.0,train
SME,LN104689,Borrower-04689,8.9,752.0,-7.0,0,1.12,0,0.109,0.183,1.97,0.598,0.202,1,0.094,0.0,1,0.48,0.0,0,-0.285,0,0,0.0,0,0.0012,train
Retail Secured,LN104690,Borrower-04690,11.5,793.0,-6.0,0,0.88,0,0.537,-0.088,2.35,0.925,0.154,0,-0.101,0.153,0,,0.0,0,0.448,1,0,0.0,0,0.0,train
Retail Unsecured,LN104691,Borrower-04691,282.3,682.0,33.0,15,1.66,1,0.446,0.021,0.52,0.681,0.527,1,0.15,0.0,0,,0.0,0,-0.535,0,0,0.0,1,0.8889,train
SME,LN104692,Borrower-04692,56.4,737.0,-17.0,35,-1.7,0,0.337,0.139,0.99,0.76,0.275,0,0.268,0.0,1,1.63,0.0,0,-0.044,0,0,0.047,0,0.0045,train
Mid Corporate,LN104693,Borrower-04693,83.4,592.0,-20.0,0,-1.91,1,0.602,0.019,0.89,0.839,0.094,0,0.231,0.0,3,4.71,0.0,0,0.027,0,0,0.0,0,0.0096,train
Retail Secured,LN104694,Borrower-04694,18.9,709.0,14.0,35,1.56,0,0.334,0.051,0.16,0.942,0.263,0,-0.195,0.02,0,,0.0,0,0.492,0,0,0.0,0,0.0005,train
SME,LN104695,Borrower-04695,24.5,736.0,-12.0,0,-2.81,1,0.433,0.089,1.98,0.707,0.313,2,-0.12,0.0,1,4.39,0.0,0,0.01,0,1,0.0,0,0.0027,train
Retail Secured,LN104696,Borrower-04696,52.9,741.0,14.0,35,-1.22,0,0.07,-0.076,0.96,0.882,0.296,1,-0.166,0.023,0,,0.0,0,-0.266,0,0,0.0,0,0.0,train
Retail Secured,LN104697,Borrower-04697,14.1,628.0,-4.0,35,0.06,0,0.375,0.237,1.78,0.694,0.296,1,0.083,0.064,0,,0.486,0,0.432,0,0,0.0,0,0.089,train
Retail Secured,LN104698,Borrower-04698,17.8,694.0,8.0,15,-1.33,0,0.169,-0.208,0.92,0.886,0.293,0,0.165,0.099,0,,0.0,0,-0.114,0,0,0.0,0,0.0,train
SME,LN104699,Borrower-04699,11.7,701.0,-28.0,35,0.21,1,0.415,-0.016,1.07,0.685,0.27,1,0.085,0.0,1,3.9,0.0,0,-0.28,0,0,0.0,1,0.9404,train
Microfinance,LN104700,Borrower-04700,15.0,691.0,8.0,0,-1.15,1,0.605,-0.016,1.47,0.733,0.558,0,0.08,0.0,0,,0.0,0,-0.483,0,0,0.0,0,0.0009,train
Retail Secured,LN104701,Borrower-04701,25.9,755.0,4.0,15,1.29,1,0.68,0.124,1.53,0.633,0.279,0,-0.168,-0.003,0,,0.0,0,0.289,0,0,0.0,0,0.0034,train
Retail Secured,LN104702,Borrower-04702,9.9,703.0,-5.0,35,0.72,0,0.351,-0.031,1.44,0.681,0.451,0,-0.6,-0.015,0,,0.0,0,0.104,1,0,0.0,0,0.0011,train
Retail Secured,LN104703,Borrower-04703,33.6,720.0,-22.0,0,0.28,0,0.692,-0.162,1.61,0.965,0.131,0,0.484,-0.043,0,,0.0,0,-0.174,1,0,0.0,0,0.0009,train
Retail Unsecured,LN104704,Borrower-04704,33.6,688.0,4.0,5,-0.35,0,0.484,0.006,2.0,0.703,0.274,0,-0.02,0.0,0,,0.0,0,-0.081,0,0,0.0,0,0.0,train
Retail Unsecured,LN104705,Borrower-04705,20.1,774.0,13.0,15,-1.03,0,0.56,0.054,1.89,0.832,0.36,2,0.135,0.0,0,,0.0,0,-0.082,0,0,0.0,0,0.0,train
Retail Unsecured,LN104706,Borrower-04706,9.9,778.0,-10.0,0,-0.13,0,0.554,-0.083,1.5,0.849,0.3,0,-0.176,0.0,0,,0.776,0,-0.555,0,0,0.0,0,0.0869,train
Retail Secured,LN104707,Borrower-04707,27.5,698.0,-9.0,5,-1.23,0,0.464,-0.103,1.47,0.885,0.187,0,-0.328,0.101,0,,0.0,0,0.397,0,0,0.0,0,0.0,train
Retail Unsecured,LN104708,Borrower-04708,14.1,872.0,14.0,5,1.92,0,0.424,-0.012,1.65,0.939,0.136,1,0.318,0.0,0,,0.0,1,0.008,0,0,0.0,0,0.2696,train
Retail Secured,LN104709,Borrower-04709,25.8,673.0,31.0,0,0.32,0,0.54,-0.152,1.62,0.967,0.329,1,0.094,0.091,0,,0.601,0,0.486,0,0,0.0,0,0.0001,train
SME,LN104710,Borrower-04710,82.1,770.0,17.0,5,-0.87,1,0.55,0.047,1.23,0.678,0.346,0,-0.265,0.0,0,3.41,0.0,0,0.271,0,0,0.0,0,0.0,train
Retail Unsecured,LN104711,Borrower-04711,6.2,663.0,4.0,0,1.57,0,0.168,-0.032,2.29,0.823,0.257,1,-0.244,0.0,0,,0.0,0,0.264,0,0,0.0,0,0.0,train
SME,LN104712,Borrower-04712,268.0,758.0,-4.0,0,-0.05,1,0.132,-0.063,1.67,0.924,0.251,0,-0.05,0.0,1,3.68,0.0,0,0.023,0,0,0.093,0,0.0,train
Mid Corporate,LN104713,Borrower-04713,22.7,753.0,-0.0,0,1.4,0,0.679,0.134,1.64,0.802,0.302,0,-0.04,0.0,0,2.9,0.0,0,-0.125,0,0,0.303,0,0.0024,train
Retail Secured,LN104714,Borrower-04714,38.6,659.0,-24.0,0,1.37,0,0.092,0.093,0.94,0.691,0.683,1,-0.266,-0.007,0,,0.0,0,-0.266,0,0,0.0,0,0.0136,train
Retail Unsecured,LN104715,Borrower-04715,10.7,708.0,-3.0,0,0.44,0,0.425,-0.138,1.0,0.705,0.8,0,0.325,0.0,0,,0.0,0,-0.132,0,0,0.0,0,0.0028,train
Retail Secured,LN104716,Borrower-04716,86.2,818.0,20.0,0,-1.27,1,0.527,-0.035,0.9,0.936,0.262,0,0.36,-0.042,0,,0.0,1,0.272,0,0,0.0,0,0.0036,train
Retail Secured,LN104717,Borrower-04717,21.4,670.0,1.0,0,-0.58,1,0.711,-0.028,1.63,0.958,0.118,0,-0.222,0.067,0,,0.0,0,-0.2,0,0,0.0,0,0.0,train
Retail Secured,LN104718,Borrower-04718,15.9,737.0,-11.0,0,3.59,1,0.718,0.117,1.69,0.795,0.315,0,0.28,0.132,0,,0.0,0,0.298,0,0,0.0,1,0.6683,train
Retail Unsecured,LN104719,Borrower-04719,13.0,733.0,-13.0,0,-0.55,0,0.259,0.002,1.27,0.932,0.23,1,-0.135,0.0,0,,0.0,0,-0.133,0,0,0.0,0,0.0,train
Retail Secured,LN104720,Borrower-04720,18.3,713.0,-1.0,0,-0.26,0,0.583,0.018,1.08,0.703,0.297,0,-0.302,0.049,0,,0.0,0,0.528,0,0,0.0,0,0.0,train
Retail Secured,LN104721,Borrower-04721,38.9,620.0,-22.0,15,-0.47,0,0.235,-0.005,1.57,0.747,0.419,0,0.035,0.043,0,,0.0,0,0.372,0,0,0.0,0,0.0,train
Retail Unsecured,LN104722,Borrower-04722,29.7,761.0,-16.0,0,-0.94,0,0.603,0.067,2.21,0.845,0.298,1,-0.052,0.0,0,,0.0,0,0.753,0,0,0.0,0,0.0,train
SME,LN104723,Borrower-04723,23.5,716.0,28.0,35,0.7,0,0.329,-0.193,1.34,0.946,0.035,0,-0.079,0.0,1,4.53,0.0,0,-0.29,0,0,0.0,0,0.0001,train
Retail Unsecured,LN104724,Borrower-04724,11.2,776.0,-19.0,0,-1.34,1,0.503,0.146,1.67,0.871,0.051,2,-0.095,0.0,0,,0.0,0,0.167,0,0,0.0,0,0.0,train
Retail Unsecured,LN104725,Borrower-04725,10.5,728.0,-14.0,0,-0.83,0,0.654,0.022,1.51,0.925,0.298,1,-0.11,0.0,0,,0.0,0,0.565,1,0,0.0,0,0.0,train
SME,LN104726,Borrower-04726,14.8,719.0,5.0,35,0.31,1,1.0,-0.149,1.25,0.84,0.031,2,-0.2,0.0,1,4.0,0.0,0,-0.292,0,0,0.092,0,0.3693,train
Retail Unsecured,LN104727,Borrower-04727,40.7,735.0,-8.0,35,-0.25,1,0.455,-0.172,1.45,0.475,0.132,2,0.22,0.0,0,,0.0,0,0.422,0,0,0.0,0,0.0106,train
SME,LN104728,Borrower-04728,50.8,661.0,2.0,35,0.16,0,0.201,0.011,2.36,0.854,0.316,0,0.407,0.0,1,1.87,0.0,0,0.317,0,0,0.052,0,0.0001,train
Retail Secured,LN104729,Borrower-04729,59.0,801.0,16.0,15,-0.03,0,0.299,-0.029,1.4,0.511,0.482,1,0.416,0.067,0,,0.0,0,-0.416,0,0,0.0,0,0.0009,train
Retail Unsecured,LN104730,Borrower-04730,24.5,694.0,-28.0,5,-1.17,0,0.491,-0.034,1.87,0.99,0.247,2,0.033,0.0,0,,0.0,1,0.071,0,0,0.0,0,0.0076,train
Mid Corporate,LN104731,Borrower-04731,37.4,695.0,14.0,15,1.46,0,0.61,0.016,1.56,0.782,0.253,2,-0.017,0.0,1,1.84,0.0,0,0.134,0,0,0.0,0,0.0077,train
Retail Secured,LN104732,Borrower-04732,20.4,786.0,-10.0,35,1.14,0,0.416,0.093,1.89,0.756,0.222,1,0.027,-0.091,0,,0.418,0,0.063,0,0,0.0,0,0.0748,train
